"course_id";"course_title";"course_description";"instructor_id";"category_id";"department_id";"start_date";"end_date"
46;"Python Programming";"Learn Python from scratch.";2;1;0;"2023-02-01";"2023-04-01"
47;"Data Science with R";"Comprehensive course on data science using R.";6;2;0;"2023-03-01";"2023-06-01"
48;"Full-Stack Web Development";"Complete full-stack web development course.";11;3;0;"2023-02-15";"2023-05-15"
49;"Machine Learning Basics";"Introduction to machine learning techniques.";11;5;0;"2023-03-10";"2023-06-10"
50;"Cloud Computing Fundamentals";"Learn the basics of cloud computing.";19;4;0;"2023-04-01";"2023-07-01"
51;"Java Programming";"Comprehensive course on Java programming.";2;1;0;"2023-02-10";"2023-05-10"
52;"Advanced SQL Queries";"Master advanced SQL techniques and queries.";11;2;0;"2023-03-01";"2023-06-01"
53;"Artificial Intelligence for Beginners";"Introductory AI course.";27;5;0;"2023-03-15";"2023-07-15"
54;"Business Analytics";"Data-driven business decision-making.";31;2;0;"2023-02-20";"2023-05-20"
55;"React.js and Front-End Development";"React.js and modern front-end web development.";39;3;0;"2023-04-05";"2023-07-05"
56;"Cybersecurity Essentials";"Foundations of cybersecurity.";19;4;0;"2023-05-01";"2023-08-01"
57;"Natural Language Processing";"Introduction to NLP using Python.";11;5;0;"2023-03-01";"2023-06-01"
58;"Big Data Analytics";"Learn to analyze and interpret big data.";39;2;0;"2023-04-10";"2023-07-10"
59;"HTML, CSS & JavaScript";"Web development basics with HTML, CSS, and JavaScript.";31;3;0;"2023-02-01";"2023-04-01"
60;"Data Visualization with Tableau";"Create powerful data visualizations using Tableau.";39;2;0;"2023-04-01";"2023-06-30"
