"content_id";"module_id";"content_type";"content_url";"content_text"
76;56;"video";"https://lms.com/python_intro.mp4";""
77;57;"text";"";"Learn about Python variables, data types, and operators."
78;58;"pdf";"https://lms.com/python_control_flow.pdf";""
79;59;"video";"https://lms.com/python_functions.mp4";""
80;60;"quiz";"";"https://lms.com/quizzes/python_file_handling_quiz"
81;61;"video";"https://lms.com/intro_to_R.mp4";""
82;62;"pdf";"https://lms.com/dplyr_guide.pdf";""
83;63;"video";"https://lms.com/ggplot2_visualization.mp4";""
84;64;"text";"";"Statistical methods in R cover everything from hypothesis testing to regression."
85;65;"quiz";"";"https://lms.com/quizzes/machine_learning_with_R_quiz"
86;66;"video";"https://lms.com/web_dev_intro.mp4";""
87;67;"text";"";"HTML and CSS form the building blocks of web development."
88;68;"pdf";"https://lms.com/js_basics.pdf";""
89;69;"video";"https://lms.com/nodejs_backend.mp4";""
90;70;"quiz";"";"https://lms.com/quizzes/web_development_final_quiz"
91;71;"video";"https://lms.com/ml_intro.mp4";""
92;72;"pdf";"https://lms.com/linear_regression.pdf";""
93;73;"text";"";"Classification algorithms help to categorize data into predefined classes."
94;74;"video";"https://lms.com/clustering_algorithms.mp4";""
95;75;"quiz";"";"https://lms.com/quizzes/machine_learning_quiz"
96;76;"video";"https://lms.com/cloud_intro.mp4";""
97;77;"pdf";"https://lms.com/cloud_service_models.pdf";""
98;78;"text";"";"Virtualization is essential for cloud platforms."
99;79;"video";"https://lms.com/cloud_storage_solutions.mp4";""
100;80;"quiz";"";"https://lms.com/quizzes/cloud_security_basics_quiz"
